USER           PID   TID  PPID        VSZ    RSS WCHAN            ADDR S CMD            
root           578   578     2          0      0 rescuer_thread      0 I dismicQueue
root           579   579     2          0      0 rescuer_thread      0 I accdet_eint
root           580   580     2          0      0 dsp_process_msg_thread 0 S dsp_send_thread_id_4
root           581   581     2          0      0 dsp_process_msg_thread 0 S dsp_recv_thread_id_4
root           585   585     2          0      0 rescuer_thread      0 I odm:frsm_amp
root           586   586     2          0      0 rescuer_thread      0 I 6-0035
root           587   587     2          0      0 rescuer_thread      0 I 6-0034
root           598   598     2          0      0 do_wait_intr_irq    0 S mddp_rx
root           600   600     2          0      0 rescuer_thread      0 I mt_usrtch__work
root           601   601     2          0      0 ktchboost_thread    0 S touch_boost
root           603   603     2          0      0 rescuer_thread      0 I VCP_WQ
root           604   604     2          0      0 rescuer_thread      0 I VCP_LOG_WQ
root           605   605     2          0      0 rescuer_thread      0 I VCP_RESET_WQ
root           607   607     2          0      0 rescuer_thread      0 I mtk-vcodec-dec
root           608   608     2          0      0 rescuer_thread      0 I vdec_check_aliv
root           609   609     2          0      0 rescuer_thread      0 I vdec_buf_dump
root           610   610     2          0      0 vcp_dec_ipi_handler 0 S vdec_ipi_recv
root           611   611     2          0      0 rescuer_thread      0 I mtk-vcodec-enc
root           612   612     2          0      0 vcp_enc_ipi_handler 0 S venc_ipi_recv
root           615   615     2          0      0 rescuer_thread      0 I mcupm_ts_wq
root           618   618     2          0      0 rescuer_thread      0 I ged_notify_sw_v
root           619   619     2          0      0 rescuer_thread      0 I ged_kpi
root           621   621     2          0      0 rescuer_thread      0 I kbase_job_fault
root           622   622     2          0      0 try_drain_rqs       0 S pause_drain_rqs
root           623   623     2          0      0 try_core_ctl        0 S core_ctl_v3/0
root           624   624     2          0      0 try_core_ctl        0 S core_ctl_v3/6
root           626   626     2          0      0 rescuer_thread      0 I cmdq_flushq
root           627   627     2          0      0 rescuer_thread      0 I task_exec_wq_11
root           628   628     2          0      0 rescuer_thread      0 I cmdq_flushq
root           630   630     2          0      0 kfpsgo              0 S kfps
root           631   631     2          0      0 rescuer_thread      0 I fbt_cpu
root           632   632     2          0      0 rescuer_thread      0 I fbt_cam_recycle
root           633   633     2          0      0 rescuer_thread      0 I fbt_cam_jerk
root           634   634     2          0      0 rescuer_thread      0 I mt_mini_top
root           635   635     2          0      0 rescuer_thread      0 I fpt_cpu_load_wq
root           636   636     2          0      0 rescuer_thread      0 I fpt_cpu_ctrl_wq
root           637   637     2          0      0 rescuer_thread      0 I mt_fstb
root           638   638     2          0      0 rescuer_thread      0 I gbe_notifier_wq
root           639   639     2          0      0 kthread_worker_fn   0 S hf_manager
root           640   640     2          0      0 rescuer_thread      0 I ipi_comm
root           641   641     2          0      0 transceiver_thread  0 S transceiver
root           642   642     2          0      0 rescuer_thread      0 I sensor_ready
root           645   645     2          0      0 rescuer_thread      0 I lt_wq
root           648   648     2          0      0 rescuer_thread      0 I task_exec_wq_8
root           649   649     2          0      0 rescuer_thread      0 I cmdq_flushq
root           650   650     2          0      0 rescuer_thread      0 I swpm_common_wq
root           651   651     2          0      0 rescuer_thread      0 I swpm_init_retry
root           666   666     2          0      0 irq_wait_for_interrupt 0 S irq/169-aw_sar0_irq
root           667   667     2          0      0 rescuer_thread      0 I aw96xxx_sar_wor
prng_seeder    671   671     1    2220668   5936 do_epoll_wait       0 S prng_seeder
logd           679   679     1    2356392   5588 __do_sys_rt_sigsuspend 0 S logd
logd           679   695     1    2356392   5588 do_sys_poll         0 S logd.reader
logd           679   696     1    2356392   5588 __skb_wait_for_more_packets 0 S logd.writer
logd           679   697     1    2356392   5588 do_sys_poll         0 S logd.control
logd           679   712     1    2356392   5588 syslog_print        0 S logd.klogd
logd           679   713     1    2356392   5588 do_sys_poll         0 S logd.auditd
logd           679  1290     1    2356392   5588 futex_wait_queue_me 0 S logd.reader.per
logd           679  4254     1    2356392   5588 inotify_read        0 S logd.pkglist
lmkd           680   680     1    2257708   4560 do_epoll_wait       0 S lmkd
lmkd           680   689     1    2257708   4560 futex_wait_queue_me 0 S lmkd_reaper0
lmkd           680   690     1    2257708   4560 futex_wait_queue_me 0 S lmkd_reaper1
lmkd           680   691     1    2257708   4560 do_sigtimedwait     0 S lmkd_watchdog
system         681   681     1    2264560   6972 do_epoll_wait       0 S servicemanager
system         681   688     1    2264560   6972 do_sys_poll         0 S TracingMuxer
system         682   682     1    2371528   6832 do_epoll_wait       0 S hwservicemanage
system         683   683     1    2312464   4604 do_epoll_wait       0 S vndservicemanag
root           687   687     2          0      0 psi_poll_worker     0 S psimon
root           711   711     2          0      0 worker_thread       0 I kworker/0:2H-ipi_comm
root           716   716     1    2437528   8352 binder_wait_for_work 0 S binder:716_2
root           716   722     1    2437528   8352 binder_wait_for_work 0 S binder:716_1
root           716   723     1    2437528   8352 binder_wait_for_work 0 S binder:716_3
root           716   725     1    2437528   8352 do_sys_poll         0 S binder:716_2
root           716   808     1    2437528   8352 binder_wait_for_work 0 S binder:716_4
root           716  3110     1    2437528   8352 binder_wait_for_work 0 S binder:716_5
root           721   721     2          0      0 rescuer_thread      0 I kdmflush
root           736   736     1    2183928   4920 binder_wait_for_work 0 S boot@1.2-servic
root           741   741     2          0      0 kjournald2          0 S jbd2/sdc31-8
